network,siteId,siteName,status,startDate,stopDate,county,state,latitude,longitude,elevation,stateName,siteClass
NTN,OR10,"H. J. Andrews Experimental Forest",A,1980-05-13,,Lane,OR,44.2118,-122.2560,443,Oregon,I
NTN,OR18,"Starkey Experimental Forest",A,1984-03-06,,Union,OR,45.2247,-118.5130,1254,Oregon,I
NTN,OR97,"Hyslop Farm",A,1983-04-26,,Benton,OR,44.6347,-123.1900,69,Oregon,S
NTN,PA00,Arendtsville,A,1999-01-26,,Adams,PA,39.9231,-77.3078,269,Pennsylvania,R
NTN,PA13,"Allegheny Portage Railroad National Historic Site",A,2011-07-26,,Cambria,PA,40.4570,-78.5600,739,Pennsylvania,S
NTN,PA15,"Penn State",A,1983-06-07,,Centre,PA,40.7883,-77.9458,393,Pennsylvania,S
NTN,PA42,"Leading Ridge",A,1979-04-25,,Huntingdon,PA,40.6575,-77.9397,287,Pennsylvania,R
NTN,SC05,"Cape Romain National Wildlife Refuge",A,2000-11-21,,Charleston,SC,32.9430,-79.6592,1,"South Carolina",R
NTN,TN04,Speedwell,A,1999-01-26,,Claiborne,TN,36.4698,-83.8272,384,Tennessee,R
NTN,TN11,"Great Smoky Mountains National Park-Elkmont",A,1980-08-12,,Sevier,TN,35.6645,-83.5903,640,Tennessee,R
NTN,TN14,"Hatchie National Wildlife Refuge",A,1984-10-02,,Haywood,TN,35.4988,-89.2611,117,Tennessee,R
NTN,TX16,Sonora,A,1984-06-26,,Edwards,TX,30.2613,-100.5551,696,Texas,I
NTN,TX22,"Guadalupe Mountains National Park Frijole Ranger Station",A,1984-06-05,,Culberson,TX,31.9069,-104.8050,1705,Texas,I
NTN,TX43,Ca��nceta,A,2007-07-24,,Randall,TX,34.8800,-101.6650,1057,Texas,I
NTN,TX56,"L.B.J. National Grasslands",A,1983-09-20,,Wise,TX,33.3917,-97.6397,312,Texas,I
NTN,UT01,Logan,A,1983-12-06,,Cache,UT,41.6661,-111.8914,1370,Utah,S
NTN,UT98,"Green River",A,1985-04-25,,Emery,UT,39.0001,-110.1740,1256,Utah,I
NTN,UT99,"Bryce Canyon National Park-Repeater Hill",A,1985-01-29,,Garfield,UT,37.6186,-112.1728,2477,Utah,I
NTN,VA00,Charlottesville,A,1984-10-02,,Albemarle,VA,38.0402,-78.5427,172,Virginia,S
NTN,VA13,"Blue Grass Trail",A,1978-07-25,,Giles,VA,37.3232,-80.4572,652,Virginia,R
NTN,VA24,"Prince Edward",A,1999-01-26,,"Prince Edward",VA,37.1652,-78.3073,150,Virginia,R
NTN,VA28,"Shenandoah National Park-Big Meadows",A,1981-05-12,,Madison,VA,38.5231,-78.4348,1072,Virginia,R
NTN,VA99,"Natural Bridge Station",A,2002-07-02,,Rockbridge,VA,37.6265,-79.5126,282,Virginia,R
NTN,VT01,Bennington,A,1981-04-28,,Bennington,VT,42.8761,-73.1633,305,Vermont,R
NTN,VT99,Underhill,A,1984-06-12,,Chittenden,VT,44.5283,-72.8684,399,Vermont,R
NTN,WA24,"Palouse Conservation Farm",A,1985-08-20,,Whitman,WA,46.7606,-117.1847,766,Washington,R
NTN,WA98,"Columbia River Gorge",A,2002-05-07,,Skamania,WA,45.5694,-122.2100,233,Washington,R
NTN,WI06,"UW Arboretum",A,2019-02-11,,Dane,WI,43.0410,-89.4280,265,Wisconsin,U
NTN,WI10,Potawatomi,A,2005-06-07,,Forest,WI,45.5648,-88.8083,570,Wisconsin,I
NTN,WI31,"Devil's Lake",A,2014-01-07,,Sauk,WI,43.4352,-89.6801,389,Wisconsin,R
NTN,WI35,Perkinstown,A,1999-01-26,,Taylor,WI,45.2064,-90.5978,472,Wisconsin,I
NTN,WI36,"Trout Lake",A,1980-01-22,,Vilas,WI,46.0512,-89.6541,509,Wisconsin,I
NTN,WI37,Spooner,A,1980-06-03,,Washburn,WI,45.8228,-91.8744,331,Wisconsin,R
NTN,WV04,"Babcock State Park",A,1983-09-06,,Fayette,WV,37.9796,-80.9525,753,"West Virginia",R
NTN,WV18,Parsons,A,1978-07-05,,Tucker,WV,39.0897,-79.6622,505,"West Virginia",I
NTN,WY00,"Snowy Range",A,1986-04-22,,Albany,WY,41.3762,-106.2600,3269,Wyoming,I
NTN,WY02,"Sinks Canyon",A,1984-08-21,,Fremont,WY,42.7336,-108.8498,2164,Wyoming,I
NTN,WY06,Pinedale,A,1982-01-26,,Sublette,WY,42.9290,-109.7875,2388,Wyoming,I
NTN,WY94,"Grand Tetons National Park",A,2011-09-27,,Teton,WY,43.8333,-110.7008,2105,Wyoming,I
NTN,WY95,"Brooklyn Lake",A,1992-09-22,,Albany,WY,41.3647,-106.2408,3181,Wyoming,I
NTN,WY97,"South Pass City",A,1985-04-30,,Fremont,WY,42.4944,-108.8320,2524,Wyoming,I
