network,siteId,siteName,status,startDate,stopDate,county,state,latitude,longitude,elevation,stateName,siteClass
NTN,MO46,"Mingo National Wildlife Refuge",A,2022-06-28,,Stoddard,MO,36.9716,-90.1433,105,Missouri,I
NTN,MS10,Clinton,A,1984-07-10,,Hinds,MS,32.3069,-90.3186,86,Mississippi,S
NTN,MS12,"Grand Bay NERR",A,2010-03-09,,Jackson,MS,30.4294,-88.4277,2,Mississippi,R
NTN,MS30,Coffeeville,A,1984-07-17,,Yalobusha,MS,34.0025,-89.7993,134,Mississippi,I
NTN,MS98,Chunky,A,2022-10-18,,Newton,MS,32.3357,-88.9653,,Mississippi," "
NTN,MT00,"Little Bighorn Battlefield National Monument",A,1984-07-13,,"Big Horn",MT,45.5701,-107.4380,962,Montana,I
NTN,MT05,"Glacier National Park-Fire Weather Station",A,1980-06-03,,Flathead,MT,48.5102,-113.9970,964,Montana,I
NTN,MT07,Clancy,A,1984-01-24,,Jefferson,MT,46.4850,-112.0647,1448,Montana,R
NTN,MT96,"Poplar River",A,1999-12-21,,Roosevelt,MT,48.3149,-105.1440,640,Montana,I
NTN,MT97,"Lost Trail Pass",A,1990-09-25,,Ravalli,MT,45.6920,-113.9680,2401,Montana,I
NTN,MT98,"Havre - Northern Agricultural Research Center",A,1985-07-30,,Hill,MT,48.5007,-109.7980,819,Montana,R
NTN,NC03,Lewiston,A,1978-10-31,,Bertie,NC,36.1325,-77.1708,22,"North Carolina",I
NTN,NC06,Beaufort,A,1999-01-26,,Carteret,NC,34.8846,-76.6207,2,"North Carolina",R
NTN,NC25,Coweeta,A,1978-07-05,,Macon,NC,35.0605,-83.4305,686,"North Carolina",R
NTN,NC29,"Hofmann Forest",A,2002-07-02,,Onslow,NC,34.8250,-77.3228,14,"North Carolina",S
NTN,NC30,"Duke Forest",A,2020-03-03,,Orange,NC,35.9709,-79.0933,174,"North Carolina",S
